,title,price,hour1,volume24,marketcap
192,UTU,0.00282,0.08,"52,7392,908,917 ETHA",239176.5
193,LEG,0.03543,0.78,"10,3963,137,508 STX",238671.9
194,DHV,0.002166,0.05,"42,9931,868,669,749 NCASH",237957.2
195,ARES,0.006695,0.17,"1,3174,023,049 SPWN",235831.6
196,CVT,0.01401,92.96,"4691,982,983 DAPP",235419.0
197,MIT,0.00223,3.14,"17,15815,932,455 DINO",234622.1
198,KANGAL,0.0000518,54.23,"20,44547,231 LEV",233634.9
199,IF,0.001921,0.52,"49,59546,260,351 TCP",232397.4
200,LEAD,0.3526,1.14,"304,293 MSR",172436.2
201,STND,0.0592,1.13,"6,8927,779,684 DOS",172323.6
202,UUU,0.00102,7.38,"7,79789,807 BCUG",171712.2
203,ARGON,0.000222,0.06,"150,92867,406,772 VISION",171460.5
204,ETHA,0.0654,13.06,"230,6031,279,264,160 CAPP",169688.5
205,STX,0.0...02336,23.44,"10,882153,799,305 ZSC",169425.1
206,NCash,0.0...02336,0.19,"181,165 SNOB",168532.9
207,SPWN,0.03873,0.26,"151,6971,700,165 BOMB",168289.0
208,DAPP,0.0003412,0.11,"87,7027,346,192 FOTA",167977.5
209,DINO,0.01283,0.55,"745,701 BPS",167418.0
210,LEV,0.0...01718,2.94,"89,85510,927,450 NUX",123807.1
211,TCP,0.0...01718,0.96,"24,11144,582,499 AUX",123486.9
212,ARCO,0.001721,0.08,"28279,209 CATT",122444.0
213,MSR,0.01813,7.57,"1310,870 ATMOS",121431.6
214,DNA,0.003313,6.23,"17,78512,703,435 PHX",120865.4
215,DOS,0.0...02301,3.80,"73,528 BREW",120431.8
216,BCUG,0.0...02301,0.15,"2,4001,583,014 KWT",119630.6
217,VISION,0.0003273,4.98,"258,668 SOC",119600.9
218,CAPP,0.0002366,2.99,"46,487 ORMEUS",119562.5
219,XST,0.001077,8.16,"28611,153,489 DGTX",118893.1
220,ZSC,0.4329,15.60,"4,8552,345,326 NIFT",82749.8
221,SNOB,0.001072,0.04,"3,288101,159,277 ASW",80622.3
222,BOMB,0.02876,7.14,509102 WARP,79435.3
223,IG,0.007032,27.04,"141,196,728 RHT",78222.9
224,FOTA,0.000006,1.08,"0.82842,046 ABX",78199.9
225,BPS,0.0008859,0.17,"213242,071 MOWA",77924.4
226,NUX,0.08682,1115.26,"99387,440 ZUKI",77920.9
227,AUX,0.002239,0.22,"16658,573 HB",76741.5
228,CATT,0.0001803,0.12,4248 ROFI,76439.2
229,ATMOS,0.003,1.65,0449 EGG,76316.5
230,MAS,0.0...07075,0.31,"113,21861,463,561 CYL",46340.0
231,SHARD,0.0...07075,2.62,"2,856,984279,260 CHEEL",46246.0
232,PHX,0.01528,3.42,"2,818,9041,876 GRAIL",46144.7
233,DOGES,0.08922,1.31,"2,778,8651,889,285,115 KARATE",45948.6
234,BREW,0.0...01824,3.63,"2,699,267348,218,527,215 FOUR",45711.2
235,KWT,0.0...01824,15.08,"2,635,578118,032,018 CUSDT",45478.2
236,OPAL,0.01194,4.37,"2,495,08636,144,823,891 MONKEYS",45088.5
237,RBIES,0.013,0.23,"2,487,56225,137,704 PLEX",45068.0
238,SOC,0.008223,0.02,"2,450,9881,749,182,297,983,710 NORMIE",45001.3
239,BEET,0.0005408,6.28,"2,439,79624,657,778 VELO",44500.3
240,GSAIL,0.0...09998,1.53,"2,402,2776,815,982 APEX",24050.9
241,ORMEUS,0.0...09998,7.10,"1,147,877331,419,257 CAP",23951.6
242,DGTX,0.001217,10.91,"1,140,7334,598,586 PMG",23882.0
243,SINS,0.000237,21.73,"1,112,73770,526 TLC",23811.7
244,NIFT,0.002704,0.29,"1,110,9075,547,784,736 DBX",23807.5
245,2KEY,0.0014,2.68,"1,102,339124,696,030 GBSK",23511.8
246,ASW,2.30,1.29,"1,097,0846,801,489,553 SFM",23406.4
247,WARP,0.001966,2.81,"1,092,90346,716,117,199,014 GRUMPYCAT",23400.6
248,ETHPLO,0.001516,6.68,"1,078,17247,164,596 STORE",23089.4
249,ARO,0.002975,2.46,"1,077,11471,818,283,399,923 TOAD",23012.8
250,CREVA,0.004327,0.15,"1,075,4841,076,368 USDP",9841.8
251,BSD,0.00003,6.75,"692,543846,183 FTN",9651.3
252,RHT,0.0001535,0.52,"690,7167,108,055 TDX",9583.1
253,ABX,0.0065,0.75,"689,1441,536,646 PLS",9542.8
254,MOWA,0.0006671,6.40,"684,03924,819,930 AGI",9526.2
255,EDRC,0.0...02565,0.96,"680,493191,804 DHX",9512.9
256,APC,0.0...02565,0.53,"678,416228,311,855 WSB",9465.7
257,TCH,0.0009736,0.29,"669,1575,421,842 AREA",9453.5
258,DOM,0.00207,0.29,"667,8383,447,183 REVO",9412.7
